1999-01-01 00:00:00+01,1,AO
2000-01-01 00:00:00+01,14,AO
2001-01-01 00:00:00+01,19,AO
2002-01-01 00:00:00+01,27,AO
2003-01-01 00:00:00+01,28,AO
2004-01-01 00:00:00+01,62,AO
2005-01-01 00:00:00+01,68,AO
2006-01-01 00:00:00+01,193,AO
2007-01-01 00:00:00+01,427,AO
2008-01-01 00:00:00+01,450,AO
2009-01-01 00:00:00+01,452,AO
2010-01-01 00:00:00+01,55,AO
1973-01-01 00:00:00+01,58,AQ
1974-01-01 00:00:00+01,89,AQ
1975-01-01 00:00:00+01,200,AQ
1976-01-01 00:00:00+01,125,AQ
2003-01-01 00:00:00+01,1,AQ
2004-01-01 00:00:00+01,10,AQ
2005-01-01 00:00:00+01,22,AQ
2006-01-01 00:00:00+01,21,AQ
2007-01-01 00:00:00+01,23,AQ
2008-01-01 00:00:00+01,20,AQ
2009-01-01 00:00:00+01,34,AQ
2010-01-01 00:00:00+01,8,AQ
1966-01-01 00:00:00+01,2,AR
1973-01-01 00:00:00+01,3091,AR
1974-01-01 00:00:00+01,5871,AR
1975-01-01 00:00:00+01,5146,AR
1976-01-01 00:00:00+01,5576,AR
1985-01-01 00:00:00+01,1,AR
1994-01-01 00:00:00+01,2,AR
1995-01-01 00:00:00+01,4,AR
1998-01-01 00:00:00+01,2,AR
1999-01-01 00:00:00+01,1,AR
2000-01-01 00:00:00+01,2,AR
2001-01-01 00:00:00+01,8,AR
2002-01-01 00:00:00+01,17,AR
2003-01-01 00:00:00+01,53,AR
2004-01-01 00:00:00+01,264,AR
2005-01-01 00:00:00+01,737,AR
2006-01-01 00:00:00+01,1916,AR
2007-01-01 00:00:00+01,2054,AR
2008-01-01 00:00:00+01,1900,AR
2009-01-01 00:00:00+01,2022,AR
2010-01-01 00:00:00+01,366,AR
1973-01-01 00:00:00+01,1,AS
1974-01-01 00:00:00+01,3,AS
1975-01-01 00:00:00+01,4,AS
1976-01-01 00:00:00+01,2,AS
2001-01-01 00:00:00+01,2,AS
2003-01-01 00:00:00+01,1,AS
2004-01-01 00:00:00+01,3,AS
2005-01-01 00:00:00+01,4,AS
2006-01-01 00:00:00+01,4,AS
2007-01-01 00:00:00+01,10,AS
2008-01-01 00:00:00+01,7,AS
2009-01-01 00:00:00+01,18,AS
1973-01-01 00:00:00+01,22060,AT
1974-01-01 00:00:00+01,38161,AT
1975-01-01 00:00:00+01,34972,AT
1976-01-01 00:00:00+01,27835,AT
1979-01-01 00:00:00+01,1,AT
