1985-01-01 00:00:00+01	1	EC
1985-01-01 00:00:00+01	1	US
1985-01-01 00:00:00+01	1	US
1985-01-01 00:00:00+01	1	EG
1985-01-01 00:00:00+01	1	US
1985-01-01 00:00:00+01	1	EG
1985-01-01 00:00:00+01	1	YE
1985-01-01 00:00:00+01	1	ZA
1985-01-01 00:00:00+01	1	ZA
1985-01-01 00:00:00+01	1	ZM
1985-01-01 00:00:00+01	1	ES
1985-01-01 00:00:00+01	1	FR
1985-01-01 00:00:00+01	1	FR
1985-01-01 00:00:00+01	2	AM
1985-01-01 00:00:00+01	2	GR
1985-01-01 00:00:00+01	2	IN
1985-01-01 00:00:00+01	2	AU
1985-01-01 00:00:00+01	2	IN
1985-01-01 00:00:00+01	2	IN
1985-01-01 00:00:00+01	2	IT
1985-01-01 00:00:00+01	2	BH
1985-01-01 00:00:00+01	2	JP
1985-01-01 00:00:00+01	2	BN
1985-01-01 00:00:00+01	2	JP
1985-01-01 00:00:00+01	2	JP
1985-01-01 00:00:00+01	2	BW
1985-01-01 00:00:00+01	2	MA
1985-01-01 00:00:00+01	2	BW
1985-01-01 00:00:00+01	2	BY
1985-01-01 00:00:00+01	2	CA
1985-01-01 00:00:00+01	2	NG
1985-01-01 00:00:00+01	2	CO
1985-01-01 00:00:00+01	2	CO
1985-01-01 00:00:00+01	2	SA
1985-01-01 00:00:00+01	2	SA
1985-01-01 00:00:00+01	2	TN
1985-01-01 00:00:00+01	2	DZ
1985-01-01 00:00:00+01	2	ZA
1985-01-01 00:00:00+01	2	ES
1985-01-01 00:00:00+01	3	GB
1985-01-01 00:00:00+01	3	GB
1985-01-01 00:00:00+01	3	AF
1985-01-01 00:00:00+01	3	ID
1985-01-01 00:00:00+01	3	IL
1985-01-01 00:00:00+01	3	IN
1985-01-01 00:00:00+01	3	IR
1985-01-01 00:00:00+01	3	JP
1985-01-01 00:00:00+01	3	SO
1985-01-01 00:00:00+01	3	EE
1985-01-01 00:00:00+01	3	US
1985-01-01 00:00:00+01	3	FR
1985-01-01 00:00:00+01	4	FR
1985-01-01 00:00:00+01	4	AF
1985-01-01 00:00:00+01	4	NG
1985-01-01 00:00:00+01	4	PK
1985-01-01 00:00:00+01	4	PK
1985-01-01 00:00:00+01	4	RU
1985-01-01 00:00:00+01	4	SO
1985-01-01 00:00:00+01	4	EG
1985-01-01 00:00:00+01	4	ES
1985-01-01 00:00:00+01	4	ET
1985-01-01 00:00:00+01	5	GB
1985-01-01 00:00:00+01	5	JO
1985-01-01 00:00:00+01	5	KR
1985-01-01 00:00:00+01	5	RU
1985-01-01 00:00:00+01	5	SA
1985-01-01 00:00:00+01	5	DE
1985-01-01 00:00:00+01	5	EG
1985-01-01 00:00:00+01	5	EG
1985-01-01 00:00:00+01	6	IT
1985-01-01 00:00:00+01	6	JO
1985-01-01 00:00:00+01	6	NE
1985-01-01 00:00:00+01	6	NG
1985-01-01 00:00:00+01	6	SY
1985-01-01 00:00:00+01	6	TR
1985-01-01 00:00:00+01	7	FR
1985-01-01 00:00:00+01	7	IR
1985-01-01 00:00:00+01	7	KW
1985-01-01 00:00:00+01	7	CN
1985-01-01 00:00:00+01	7	RU
1985-01-01 00:00:00+01	8	LY
1985-01-01 00:00:00+01	8	PT
1985-01-01 00:00:00+01	8	DE
1985-01-01 00:00:00+01	8	DZ
1985-01-01 00:00:00+01	8	US
1985-01-01 00:00:00+01	9	PH
1985-01-01 00:00:00+01	10	AZ
1985-01-01 00:00:00+01	12	GR
1985-01-01 00:00:00+01	12	EG
1985-01-01 00:00:00+01	13	DE
1985-01-01 00:00:00+01	14	US
1985-01-01 00:00:00+01	18	AT
1985-01-01 00:00:00+01	19	LB
1985-01-01 00:00:00+01	21	SY
1985-01-01 00:00:00+01	22	IL
1985-01-01 00:00:00+01	22	DE
1985-01-01 00:00:00+01	27	LB
1986-01-01 00:00:00+01	1	DE
1986-01-01 00:00:00+01	1	EE
1986-01-01 00:00:00+01	1	EG
1986-01-01 00:00:00+01	1	EG
1986-01-01 00:00:00+01	1	ES
