1973-01-01 00:00:00+01	MY	1311
1973-01-01 00:00:00+01	MZ	1046
1973-01-01 00:00:00+01	NC	26
1973-01-01 00:00:00+01	NE	2999
1973-01-01 00:00:00+01	NF	2032
1973-01-01 00:00:00+01	NG	8831
1973-01-01 00:00:00+01	NI	3334
1973-01-01 00:00:00+01	NL	5316
1973-01-01 00:00:00+01	NO	8728
1973-01-01 00:00:00+01	NP	3296
1973-01-01 00:00:00+01	NR	30
1973-01-01 00:00:00+01	NU	23
1973-01-01 00:00:00+01	NZ	1853
1973-01-01 00:00:00+01	OM	1578
1973-01-01 00:00:00+01	PA	9412
1973-01-01 00:00:00+01	PE	8612
1973-01-01 00:00:00+01	PF	64
1973-01-01 00:00:00+01	PG	71
1973-01-01 00:00:00+01	PH	21083
1973-01-01 00:00:00+01	PK	18437
1973-01-01 00:00:00+01	PL	15725
1973-01-01 00:00:00+01	PR	997
1973-01-01 00:00:00+01	PS	217
1973-01-01 00:00:00+01	PT	8904
1973-01-01 00:00:00+01	PW	31
1973-01-01 00:00:00+01	PY	1112
1973-01-01 00:00:00+01	QA	729
1973-01-01 00:00:00+01	RE	123
1973-01-01 00:00:00+01	RO	7783
1973-01-01 00:00:00+01	RW	2229
1973-01-01 00:00:00+01	SA	11168
1973-01-01 00:00:00+01	SB	13
1973-01-01 00:00:00+01	SC	434
1973-01-01 00:00:00+01	SD	4733
1973-01-01 00:00:00+01	SE	7056
1973-01-01 00:00:00+01	SG	5152
1973-01-01 00:00:00+01	SH	4
1973-01-01 00:00:00+01	SL	1102
1973-01-01 00:00:00+01	SM	57
1973-01-01 00:00:00+01	SN	6413
1973-01-01 00:00:00+01	SO	2449
1973-01-01 00:00:00+01	SR	459
1973-01-01 00:00:00+01	ST	90
1973-01-01 00:00:00+01	SU	36459
1973-01-01 00:00:00+01	SV	3301
1973-01-01 00:00:00+01	SX	1
1973-01-01 00:00:00+01	SY	3624
1973-01-01 00:00:00+01	SZ	1525
1973-01-01 00:00:00+01	TD	1794
1973-01-01 00:00:00+01	TG	25860
1973-01-01 00:00:00+01	TH	17813
1973-01-01 00:00:00+01	TK	3
1973-01-01 00:00:00+01	TN	6714
1973-01-01 00:00:00+01	TO	113
1973-01-01 00:00:00+01	TR	9204
1973-01-01 00:00:00+01	TT	245
1973-01-01 00:00:00+01	TV	2
1973-01-01 00:00:00+01	TW	7429
1973-01-01 00:00:00+01	TZ	1787
1973-01-01 00:00:00+01	UG	4833
1973-01-01 00:00:00+01	US	39312
1973-01-01 00:00:00+01	UY	2833
1973-01-01 00:00:00+01	VA	825
1973-01-01 00:00:00+01	VC	1
1973-01-01 00:00:00+01	VE	7803
1973-01-01 00:00:00+01	VG	8
1973-01-01 00:00:00+01	VN	5866
1973-01-01 00:00:00+01	VS	21498
1973-01-01 00:00:00+01	VU	131
1973-01-01 00:00:00+01	WS	266
1973-01-01 00:00:00+01	YD	232
1973-01-01 00:00:00+01	YE	3754
1973-01-01 00:00:00+01	YT	2
1973-01-01 00:00:00+01	YU	9689
1973-01-01 00:00:00+01	ZA	8743
1973-01-01 00:00:00+01	ZM	4514
1973-01-01 00:00:00+01	ZW	209
1974-01-01 00:00:00+01	AC	17
1974-01-01 00:00:00+01	AD	4
1974-01-01 00:00:00+01	AE	753
1974-01-01 00:00:00+01	AF	9753
1974-01-01 00:00:00+01	AG	4
1974-01-01 00:00:00+01	AI	1071
1974-01-01 00:00:00+01	AL	503
1974-01-01 00:00:00+01	AN	159
1974-01-01 00:00:00+01	AO	7827
1974-01-01 00:00:00+01	AQ	89
1974-01-01 00:00:00+01	AR	5871
1974-01-01 00:00:00+01	AS	3
1974-01-01 00:00:00+01	AT	38161
1974-01-01 00:00:00+01	AU	28798
1974-01-01 00:00:00+01	AW	125
1974-01-01 00:00:00+01	AX	2
1974-01-01 00:00:00+01	BB	4736
1974-01-01 00:00:00+01	BD	12174
1974-01-01 00:00:00+01	BE	47553
1974-01-01 00:00:00+01	BF	2511
1974-01-01 00:00:00+01	BG	11339
1974-01-01 00:00:00+01	BH	5763
1974-01-01 00:00:00+01	BI	2061
1974-01-01 00:00:00+01	BJ	3445
1974-01-01 00:00:00+01	BL	27
1974-01-01 00:00:00+01	BM	1596
1974-01-01 00:00:00+01	BN	144
1974-01-01 00:00:00+01	BO	2148
1974-01-01 00:00:00+01	BR	21222
1974-01-01 00:00:00+01	BS	5382
1974-01-01 00:00:00+01	BT	321
1974-01-01 00:00:00+01	BW	4036
1974-01-01 00:00:00+01	BZ	1617
1974-01-01 00:00:00+01	CA	34505
1974-01-01 00:00:00+01	CC	31
1974-01-01 00:00:00+01	CD	8163
1974-01-01 00:00:00+01	CF	2006
1974-01-01 00:00:00+01	CG	1262
1974-01-01 00:00:00+01	CH	69505
1974-01-01 00:00:00+01	CI	9892
1974-01-01 00:00:00+01	CK	71
1974-01-01 00:00:00+01	CL	19363
1974-01-01 00:00:00+01	CM	5428
1974-01-01 00:00:00+01	CN	30590
1974-01-01 00:00:00+01	CO	16143
1974-01-01 00:00:00+01	CR	3791
1974-01-01 00:00:00+01	CS	8601
1974-01-01 00:00:00+01	CU	6565
1974-01-01 00:00:00+01	CV	459
1974-01-01 00:00:00+01	CW	13
1974-01-01 00:00:00+01	CX	13
1974-01-01 00:00:00+01	CY	23737
1974-01-01 00:00:00+01	DD	18155
1974-01-01 00:00:00+01	DE	23054
1974-01-01 00:00:00+01	DJ	130
1974-01-01 00:00:00+01	DK	17351
1974-01-01 00:00:00+01	DM	204
1974-01-01 00:00:00+01	DO	12322
1974-01-01 00:00:00+01	DZ	12829
1974-01-01 00:00:00+01	EC	18640
1974-01-01 00:00:00+01	EG	40494
1974-01-01 00:00:00+01	ES	22789
1974-01-01 00:00:00+01	ET	7895
1974-01-01 00:00:00+01	EU	289
1974-01-01 00:00:00+01	FI	7841
1974-01-01 00:00:00+01	FJ	3952
1974-01-01 00:00:00+01	FK	980
1974-01-01 00:00:00+01	FM	634
