10,1966-12-01 00:00:00+01
6,1972-02-01 00:00:00+01
2,1972-03-01 00:00:00+01
8,1972-08-01 00:00:00+01
8,1973-04-01 00:00:00+01
3,1973-10-01 00:00:00+01
3,1973-11-01 00:00:00+01
7,1975-03-01 00:00:00+01
2,1975-11-01 00:00:00+01
2,1978-01-01 00:00:00+01
9,1979-08-01 00:00:00+02
10,1979-09-01 00:00:00+02
9,1979-10-01 00:00:00+01
60,1985-01-01 00:00:00+01
55,1985-02-01 00:00:00+01
104,1985-03-01 00:00:00+01
56,1985-04-01 00:00:00+02
55,1985-05-01 00:00:00+02
133,1985-06-01 00:00:00+02
32,1985-07-01 00:00:00+02
12,1985-09-01 00:00:00+02
43,1985-10-01 00:00:00+01
10,1985-11-01 00:00:00+01
7,1985-12-01 00:00:00+01
21,1986-01-01 00:00:00+01
2,1986-02-01 00:00:00+01
20,1986-03-01 00:00:00+01
8,1986-04-01 00:00:00+02
17,1986-05-01 00:00:00+02
7,1986-06-01 00:00:00+02
45,1986-07-01 00:00:00+02
7,1986-08-01 00:00:00+02
27,1986-09-01 00:00:00+02
26,1986-11-01 00:00:00+01
32,1986-12-01 00:00:00+01
13,1987-01-01 00:00:00+01
25,1987-02-01 00:00:00+01
44,1987-04-01 00:00:00+02
9,1987-05-01 00:00:00+02
27,1987-06-01 00:00:00+02
29,1987-07-01 00:00:00+02
24,1987-08-01 00:00:00+02
52,1987-10-01 00:00:00+01
15,1987-11-01 00:00:00+01
6,1987-12-01 00:00:00+01
10,1988-01-01 00:00:00+01
34,1988-02-01 00:00:00+01
94,1988-03-01 00:00:00+01
28,1988-04-01 00:00:00+02
8,1988-05-01 00:00:00+02
13,1988-07-01 00:00:00+02
28,1988-08-01 00:00:00+02
43,1988-09-01 00:00:00+02
4,1988-10-01 00:00:00+01
21,1988-11-01 00:00:00+01
90,1988-12-01 00:00:00+01
13,1989-01-01 00:00:00+01
3,1989-02-01 00:00:00+01
25,1989-03-01 00:00:00+01
33,1989-04-01 00:00:00+02
31,1989-05-01 00:00:00+02
93,1989-06-01 00:00:00+02
23,1989-07-01 00:00:00+02
29,1989-08-01 00:00:00+02
56,1989-09-01 00:00:00+02
51,1989-10-01 00:00:00+01
60,1989-11-01 00:00:00+01
131,1989-12-01 00:00:00+01
18,1990-01-01 00:00:00+01
65,1990-02-01 00:00:00+01
53,1990-03-01 00:00:00+01
4,1990-04-01 00:00:00+02
18,1990-05-01 00:00:00+02
21,1990-06-01 00:00:00+02
52,1990-07-01 00:00:00+02
127,1990-08-01 00:00:00+02
10,1990-09-01 00:00:00+02
36,1990-10-01 00:00:00+01
106,1990-11-01 00:00:00+01
38,1990-12-01 00:00:00+01
23,1991-01-01 00:00:00+01
40,1991-02-01 00:00:00+01
12,1991-03-01 00:00:00+01
27,1991-04-01 00:00:00+02
54,1991-05-01 00:00:00+02
14,1991-06-01 00:00:00+02
22,1991-07-01 00:00:00+02
41,1991-08-01 00:00:00+02
17,1991-09-01 00:00:00+02
4,1991-10-01 00:00:00+01
39,1991-11-01 00:00:00+01
53,1991-12-01 00:00:00+01
5,1992-01-01 00:00:00+01
21,1992-02-01 00:00:00+01
14,1992-03-01 00:00:00+01
49,1992-04-01 00:00:00+02
18,1992-05-01 00:00:00+02
24,1992-06-01 00:00:00+02
41,1992-07-01 00:00:00+02
7,1992-08-01 00:00:00+02
33,1992-09-01 00:00:00+02
49,1992-10-01 00:00:00+01
41,1992-11-01 00:00:00+01
76,1992-12-01 00:00:00+01
42,1993-01-01 00:00:00+01
6,1993-02-01 00:00:00+01
17,1993-03-01 00:00:00+01
4,1993-04-01 00:00:00+02
4,1993-05-01 00:00:00+02
15,1993-06-01 00:00:00+02
25,1993-07-01 00:00:00+02
10,1993-08-01 00:00:00+02
10,1993-10-01 00:00:00+01
15,1993-11-01 00:00:00+01
18,1993-12-01 00:00:00+01
21,1994-01-01 00:00:00+01
18,1994-02-01 00:00:00+01
39,1994-03-01 00:00:00+01
53,1994-04-01 00:00:00+02
11,1994-05-01 00:00:00+02
6,1994-06-01 00:00:00+02
22,1994-07-01 00:00:00+02
17,1994-08-01 00:00:00+02
22,1994-09-01 00:00:00+02
14,1994-10-01 00:00:00+01
79,1994-11-01 00:00:00+01
72,1994-12-01 00:00:00+01
20,1995-01-01 00:00:00+01
18,1995-03-01 00:00:00+01
20,1995-04-01 00:00:00+02
60,1995-05-01 00:00:00+02
64,1995-06-01 00:00:00+02
78,1995-07-01 00:00:00+02
63,1995-08-01 00:00:00+02
17,1995-09-01 00:00:00+02
92,1995-10-01 00:00:00+01
85,1995-11-01 00:00:00+01
80,1995-12-01 00:00:00+01
23,1996-01-01 00:00:00+01
5,1996-02-01 00:00:00+01
11,1996-03-01 00:00:00+01
40,1996-04-01 00:00:00+02
8,1996-05-01 00:00:00+02
21,1996-06-01 00:00:00+02
13,1996-07-01 00:00:00+02
8,1996-08-01 00:00:00+02
20,1996-09-01 00:00:00+02
4,1996-10-01 00:00:00+02
67,1996-11-01 00:00:00+01
19,1996-12-01 00:00:00+01
17,1997-01-01 00:00:00+01
18,1997-02-01 00:00:00+01
22,1997-04-01 00:00:00+02
40,1997-05-01 00:00:00+02
10,1997-06-01 00:00:00+02
30,1997-07-01 00:00:00+02
