1973-02-01 00:00:00+01,1,NO,59.91273,10.74609
1973-02-01 00:00:00+01,1,PH,7.190708,125.455341
1973-02-01 00:00:00+01,1,PK,30.0,70.0
1973-02-01 00:00:00+01,1,PT,38.7252993,-9.1500364
1973-02-01 00:00:00+01,1,TR,37,35.3213333
1973-02-01 00:00:00+01,1,TR,39.92077,32.85411
1973-02-01 00:00:00+01,1,TR,41.01384,28.94966
1973-02-01 00:00:00+01,1,US,38.0,-97.0
1973-02-01 00:00:00+01,1,YE,15.352029,44.207456
1973-02-01 00:00:00+01,2,DK,55.67594,12.56553
1973-02-01 00:00:00+01,2,FR,46.0,2.0
1973-02-01 00:00:00+01,2,GH,8.0,-2.0
1973-02-01 00:00:00+01,2,IE,53.33306,-6.24889
1973-02-01 00:00:00+01,2,JP,36.0,138.0
1973-02-01 00:00:00+01,2,LR,6.30054,-10.7969
1973-02-01 00:00:00+01,2,LU,49.61167,6.13
1973-02-01 00:00:00+01,2,OM,23.61,58.54
1973-02-01 00:00:00+01,2,PK,33.718151,73.060547
1973-02-01 00:00:00+01,3,ZA,-25.74486,28.18783
1973-02-01 00:00:00+01,3,ZM,-15.40669,28.28713
1973-02-01 00:00:00+01,3,GH,5.55602,-0.1969
1973-02-01 00:00:00+01,3,HT,19.0,-72.4167
1973-02-01 00:00:00+01,3,IT,42.8333,12.8333
1973-02-01 00:00:00+01,3,US,38.8951118,-77.0363658
1973-02-01 00:00:00+01,4,CH,46.94809,7.44744
1973-02-01 00:00:00+01,4,JP,35.6895,139.69171
1973-02-01 00:00:00+01,4,KR,37.56826,126.97783
1973-02-01 00:00:00+01,4,MW,-15.78499,35.00854
1973-02-01 00:00:00+01,4,MX,19.42847,-99.12766
1973-02-01 00:00:00+01,5,MW,-13.5,34.0
1973-02-01 00:00:00+01,6,BE,50.85045,4.34878
1973-02-01 00:00:00+01,6,GB,51.5170986,-0.1460838
1973-02-01 00:00:00+01,6,TG,6.13748,1.21227
1973-02-01 00:00:00+01,6,TR,38.41273,27.13838
1973-02-01 00:00:00+01,8,IT,45.46427,9.18951
1973-02-01 00:00:00+01,10,FR,48.856614,2.3522219
1973-02-01 00:00:00+01,11,AO,-8.83682,13.23432
1973-03-01 00:00:00+01,1,CS,49.19522,16.60796
1973-03-01 00:00:00+01,1,CS,49.59552,17.25175
1973-03-01 00:00:00+01,1,AF,34.34817,62.19967
1973-03-01 00:00:00+01,1,DJ,11.58901,43.14503
1973-03-01 00:00:00+01,1,AF,34.42647,70.45153
1973-03-01 00:00:00+01,1,PW,7.5,134.5
1973-03-01 00:00:00+01,1,DK,56.15674,10.21076
1973-03-01 00:00:00+01,1,DK,57.048,9.9187
1973-03-01 00:00:00+01,1,RO,46.76667,23.6
1973-03-01 00:00:00+01,1,SC,-4.5833,55.6667
1973-03-01 00:00:00+01,1,SD,15.45099,36.39998
1973-03-01 00:00:00+01,1,SE,55.60587,13.00073
1973-03-01 00:00:00+01,1,AO,-12.34806,13.54556
1973-03-01 00:00:00+01,1,SM,43.93667,12.44639
1973-03-01 00:00:00+01,1,SO,0.06968,42.74497
1973-03-01 00:00:00+01,1,SU,39.65417,66.95972
1973-03-01 00:00:00+01,1,SU,39.77472,64.42861
1973-03-01 00:00:00+01,1,SU,41.26465,69.21627
1973-03-01 00:00:00+01,1,SU,41.69411,44.83368
1973-03-01 00:00:00+01,1,ET,8.55,39.26667
1973-03-01 00:00:00+01,1,SU,48.023,37.80224
1973-03-01 00:00:00+01,1,FJ,-17.61667,177.46667
1973-03-01 00:00:00+01,1,SU,56.0,24.0
1973-03-01 00:00:00+01,1,SU,57.0,25.0
1973-03-01 00:00:00+01,1,SU,59.0,26.0
1973-03-01 00:00:00+01,1,SU,59.43696,24.75353
1973-03-01 00:00:00+01,1,SV,13.74028,-89.21306
1973-03-01 00:00:00+01,1,FM,6.9167,158.25
1973-03-01 00:00:00+01,1,SY,35.13179,36.75783
1973-03-01 00:00:00+01,1,TD,13.82916,20.8324
1973-03-01 00:00:00+01,1,FR,43.60426,1.44367
1973-03-01 00:00:00+01,1,TD,8.56667,16.08333
1973-03-01 00:00:00+01,1,TG,6.9,0.63333
1973-03-01 00:00:00+01,1,AT,48.30639,14.28611
